m6AIP_SySy_peak_1|ENSMUST00000156816.6|Mrpl15|ENSMUSG00000033845.13|protein_coding_Intron_3	238	238	16.183	0.0679958	0.0679958
m6AIP_abcam_peak_2|ENSMUST00000118000.7|Rgs20|ENSMUSG00000002459.17|protein_coding_Intron_2	129	0	0	0	0
m6AIP_abcam_peak_3|ENSMUST00000044369.12|Atp6v1h|ENSMUSG00000033793.12|protein_coding_Intron_9	100	0	0	0	0
m6AIP_SySy_peak_5a|ENSMUST00000027040.12|Rb1cc1|ENSMUSG00000025907.14|protein_coding_Intron_15	120	120	1.903	0.0158583	0.0158583
m6AIP_SySy_peak_5b|ENSMUST00000027040.12|Rb1cc1|ENSMUSG00000025907.14|protein_coding_Intron_15	111	111	15.736	0.141766	0.141766
m6AIP_abcam_peak_8|ENSMUST00000061280.16|Pcmtd1|ENSMUSG00000051285.17|protein_coding_Intron_1	173	173	6.381	0.0368844	0.0368844
m6AIP_abcam_peak_10|ENSMUST00000061280.16|Pcmtd1|ENSMUSG00000051285.17|protein_coding_Intron_5	105	105	1.824	0.0173714	0.0173714
m6AIP_abcam_peak_19|ENSMUST00000071087.11|Cspp1|ENSMUSG00000056763.16|protein_coding_Intron_21	236	177	19.185	0.0812924	0.10839
m6AIP_abcam_peak_28|ENSMUST00000188371.6|Terf1|ENSMUSG00000025925.14|protein_coding_Intron_2	123	123	27.381	0.22261	0.22261
m6AIP_abcam_peak_29|ENSMUST00000188371.6|Terf1|ENSMUSG00000025925.14|protein_coding_Intron_2	111	111	9.591	0.0864054	0.0864054
m6AIP_abcam_peak_33|ENSMUST00000053266.10|Mcm3|ENSMUSG00000041859.10|protein_coding_Intron_6	108	108	23.32	0.215926	0.215926
m6AIP_abcam_peak_37|ENSMUST00000027337.14|Fam135a|ENSMUSG00000026153.15|protein_coding_Intron_3	126	126	2.908	0.0230794	0.0230794
m6AIP_abcam_peak_40|ENSMUST00000186733.6|Phf3|ENSMUSG00000048874.15|protein_coding_Intron_10	141	141	3.074	0.0218014	0.0218014
m6AIP_SySy_peak_31|ENSMUST00000186733.6|Phf3|ENSMUSG00000048874.15|protein_coding_Intron_4	187	187	0.666	0.0035615	0.0035615
m6AIP_abcam_peak_42|ENSMUST00000186733.6|Phf3|ENSMUSG00000048874.15|protein_coding_Intron_2	130	0	0	0	0
m6AIP_abcam_peak_43a|ENSMUST00000027312.10|Prim2|ENSMUSG00000026134.11|protein_coding_Intron_7	128	128	18.22	0.142344	0.142344
m6AIP_abcam_peak_43b|ENSMUST00000027312.10|Prim2|ENSMUSG00000026134.11|protein_coding_Intron_7	121	121	5.046	0.0417025	0.0417025
m6AIP_abcam_peak_44|ENSMUST00000027312.10|Prim2|ENSMUSG00000026134.11|protein_coding_Intron_5	200	138	3.294	0.01647	0.0238696
m6AIP_abcam_peak_48|ENSMUST00000019861.12|Zfp451|ENSMUSG00000042197.13|protein_coding_Intron_3	167	167	77.215	0.462365	0.462365
m6AIP_SySy_peak_36a|ENSMUST00000019861.12|Zfp451|ENSMUSG00000042197.13|protein_coding_Intron_3	111	111	57.735	0.520135	0.520135
m6AIP_SySy_peak_36b|ENSMUST00000019861.12|Zfp451|ENSMUSG00000042197.13|protein_coding_Intron_3	150	150	6.347	0.0423133	0.0423133
m6AIP_SySy_peak_36c|ENSMUST00000019861.12|Zfp451|ENSMUSG00000042197.13|protein_coding_Intron_3	204	204	12.624	0.0618824	0.0618824
m6AIP_SySy_peak_36d|ENSMUST00000019861.12|Zfp451|ENSMUSG00000042197.13|protein_coding_Intron_3	250	250	8.049	0.032196	0.032196
m6AIP_SySy_peak_36e|ENSMUST00000019861.12|Zfp451|ENSMUSG00000042197.13|protein_coding_Intron_3	250	250	13.711	0.054844	0.054844
m6AIP_abcam_peak_50|ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_2	143	143	23.164	0.161986	0.161986
m6AIP_abcam_peak_51|ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_2	180	180	22.119	0.122883	0.122883
m6AIP_abcam_peak_52|ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_2	170	170	1.037	0.0061	0.0061
m6AIP_abcam_peak_53|ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_5	111	0	0	0	0
m6AIP_abcam_peak_54|ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_5	120	120	15.984	0.1332	0.1332
m6AIP_SySy_peak_37a|ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_35	112	112	86.975	0.776562	0.776562
m6AIP_SySy_peak_37b|ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_35	132	132	2.155	0.0163258	0.0163258
m6AIP_abcam_peak_57|ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_35	144	144	108.758	0.755264	0.755264
m6AIP_abcam_peak_58|ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_35	111	111	65.031	0.585865	0.585865
m6AIP_SySy_peak_38|ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_35	250	250	199.591	0.798364	0.798364
m6AIP_SySy_peak_39|ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_35	150	132	9.259	0.0617267	0.0701439
m6AIP_SySy_peak_40|ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_35	250	250	49.068	0.196272	0.196272
m6AIP_SySy_peak_47|ENSMUST00000183034.4|Dst|ENSMUSG00000026131.20|protein_coding_Intron_60	163	163	22.032	0.135166	0.135166
m6AIP_abcam_peak_72|ENSMUST00000167518.7|Fam168b|ENSMUSG00000037503.12|protein_coding_Intron_2	161	161	5.289	0.0328509	0.0328509
m6AIP_abcam_peak_78|ENSMUST00000186470.1|Kansl3|ENSMUSG00000010453.12|protein_coding_Intron_2	160	160	11.81	0.0738125	0.0738125
m6AIP_abcam_peak_80|ENSMUST00000115011.7|Lman2l|ENSMUSG00000001143.13|protein_coding_Intron_1	116	116	18.336	0.158069	0.158069
m6AIP_abcam_peak_82|ENSMUST00000170295.7|Fam178b|ENSMUSG00000046337.17|protein_coding_Intron_10	106	106	2.897	0.0273302	0.0273302
m6AIP_abcam_peak_83|ENSMUST00000194563.5|Tmem131|ENSMUSG00000026116.11|protein_coding_Intron_32	201	201	40.059	0.199299	0.199299
m6AIP_abcam_peak_84|ENSMUST00000194563.5|Tmem131|ENSMUSG00000026116.11|protein_coding_Intron_16	121	121	1.942	0.0160496	0.0160496
m6AIP_abcam_peak_85|ENSMUST00000194563.5|Tmem131|ENSMUSG00000026116.11|protein_coding_Intron_5	186	186	16.84	0.0905376	0.0905376
m6AIP_SySy_peak_59|ENSMUST00000194563.5|Tmem131|ENSMUSG00000026116.11|protein_coding_Intron_5	100	100	0.935	0.00935	0.00935
m6AIP_SySy_peak_62|ENSMUST00000027251.11|Rev1|ENSMUSG00000026082.11|protein_coding_Intron_13	142	124	1.461	0.0102887	0.0117823
m6AIP_abcam_peak_91|ENSMUST00000194746.5|Rpl31|ENSMUSG00000073702.11|protein_coding_Intron_2	104	104	8.412	0.0808846	0.0808846
m6AIP_abcam_peak_93|ENSMUST00000062525.10|Rnf149|ENSMUSG00000048234.13|protein_coding_Intron_1	176	176	10.707	0.0608352	0.0608352
m6AIP_abcam_peak_94|ENSMUST00000163854.8|Map4k4|ENSMUSG00000026074.15|protein_coding_Intron_2	158	158	9.924	0.0628101	0.0628101
m6AIP_abcam_peak_95|ENSMUST00000163854.8|Map4k4|ENSMUSG00000026074.15|protein_coding_Intron_6	175	175	6.3	0.036	0.036
m6AIP_SySy_peak_66b|ENSMUST00000057208.12|Mrps9|ENSMUSG00000060679.14|protein_coding_Intron_8	136	136	17.352	0.127588	0.127588
m6AIP_SySy_peak_66c|ENSMUST00000057208.12|Mrps9|ENSMUSG00000060679.14|protein_coding_Intron_8	206	206	4.404	0.0213786	0.0213786
m6AIP_SySy_peak_66d|ENSMUST00000057208.12|Mrps9|ENSMUSG00000060679.14|protein_coding_Intron_8	181	181	4.714	0.0260442	0.0260442
m6AIP_abcam_peak_99|ENSMUST00000126008.7|Uxs1|ENSMUSG00000057363.12|protein_coding_Intron_8	100	100	1.483	0.01483	0.01483
m6AIP_abcam_peak_100|ENSMUST00000126008.7|Uxs1|ENSMUSG00000057363.12|protein_coding_Intron_5	137	137	3.734	0.0272555	0.0272555
m6AIP_abcam_peak_103|ENSMUST00000114513.8|Gls|ENSMUSG00000026103.14|protein_coding_Intron_14	111	111	0.794	0.00715315	0.00715315
m6AIP_SySy_peak_76a|ENSMUST00000114513.8|Gls|ENSMUSG00000026103.14|protein_coding_Intron_14	169	169	0.791	0.00468047	0.00468047
m6AIP_SySy_peak_76b|ENSMUST00000114513.8|Gls|ENSMUSG00000026103.14|protein_coding_Intron_14	109	109	2.719	0.024945	0.024945
m6AIP_abcam_peak_104a|ENSMUST00000114513.8|Gls|ENSMUSG00000026103.14|protein_coding_Intron_1	107	107	4.296	0.0401495	0.0401495
m6AIP_abcam_peak_104b|ENSMUST00000114513.8|Gls|ENSMUSG00000026103.14|protein_coding_Intron_1	117	117	9.361	0.0800085	0.0800085
m6AIP_abcam_peak_111|ENSMUST00000050567.10|1700019D03Rik|ENSMUSG00000043629.12|protein_coding_Intron_1	186	186	30.199	0.16236	0.16236
m6AIP_abcam_peak_112|ENSMUST00000027267.13|Pms1|ENSMUSG00000026098.13|protein_coding_Intron_4	123	123	3.588	0.0291707	0.0291707
m6AIP_abcam_peak_115|ENSMUST00000027202.8|Sgo2a|ENSMUSG00000026039.9|protein_coding_Intron_5	106	0	0	0	0
m6AIP_abcam_peak_122|ENSMUST00000027198.11|Orc2|ENSMUSG00000026037.14|protein_coding_Intron_7	116	0	0	0	0
m6AIP_abcam_peak_130|ENSMUST00000091374.8|Sumo1|ENSMUSG00000026021.15|protein_coding_Intron_2	110	0	0	0	0
m6AIP_abcam_peak_134a|ENSMUST00000160834.7|Nbeal1|ENSMUSG00000073664.11|protein_coding_Intron_7	72	72	1.038	0.0144167	0.0144167
m6AIP_abcam_peak_134b|ENSMUST00000160834.7|Nbeal1|ENSMUSG00000073664.11|protein_coding_Intron_7	87	0	0	0	0
m6AIP_abcam_peak_136|ENSMUST00000160834.7|Nbeal1|ENSMUSG00000073664.11|protein_coding_Intron_52	140	0	0	0	0
m6AIP_SySy_peak_102a|ENSMUST00000188618.6|Abi2|ENSMUSG00000026782.15|protein_coding_Intron_11	178	178	39.223	0.220354	0.220354
m6AIP_SySy_peak_102b|ENSMUST00000188618.6|Abi2|ENSMUSG00000026782.15|protein_coding_Intron_11	180	180	115.392	0.641067	0.641067
m6AIP_abcam_peak_155|ENSMUST00000087374.9|Adam23|ENSMUSG00000025964.15|protein_coding_Intron_2	145	145	30.635	0.211276	0.211276
m6AIP_abcam_peak_156|ENSMUST00000087374.9|Adam23|ENSMUSG00000025964.15|protein_coding_Intron_3	168	168	2.269	0.013506	0.013506
m6AIP_abcam_peak_158a|ENSMUST00000087374.9|Adam23|ENSMUSG00000025964.15|protein_coding_Intron_6	94	94	2.317	0.0246489	0.0246489
m6AIP_abcam_peak_158b|ENSMUST00000087374.9|Adam23|ENSMUSG00000025964.15|protein_coding_Intron_6	118	118	9.557	0.0809915	0.0809915
m6AIP_abcam_peak_159|ENSMUST00000087374.9|Adam23|ENSMUSG00000025964.15|protein_coding_Intron_18	192	192	6.51	0.0339063	0.0339063
m6AIP_abcam_peak_160|ENSMUST00000087374.9|Adam23|ENSMUSG00000025964.15|protein_coding_Intron_22	170	170	4.714	0.0277294	0.0277294
m6AIP_abcam_peak_164|ENSMUST00000049932.11|Creb1|ENSMUSG00000025958.14|protein_coding_Intron_4	158	158	7.379	0.0467025	0.0467025
m6AIP_abcam_peak_174|ENSMUST00000113995.1|Rpe|ENSMUSG00000026005.15|protein_coding_Intron_4	102	102	0.64	0.00627451	0.00627451
m6AIP_abcam_peak_178a|ENSMUST00000027393.7|Bard1|ENSMUSG00000026196.7|protein_coding_Intron_6	109	109	5.329	0.0488899	0.0488899
m6AIP_abcam_peak_178b|ENSMUST00000027393.7|Bard1|ENSMUSG00000026196.7|protein_coding_Intron_6	198	115	63.806	0.322253	0.554835
